Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2003,Carson Palmer,Southern California,QB,77,232,26,4.65,,,,,
2003,Dave Ragone,Louisville,QB,75.6,249,31,4.98,,30.5,101,4.32,7.4
2003,Tony Romo,Eastern Illinois,QB,74,230,30,5.01,,30,105,4.2,7.11
2003,Chris Simms,Texas,QB,76.4,220,22,4.86,,31,103,4.18,7.37
2003,Brian St. Pierre,Boston College,QB,75,218,27,4.82,,30,106,,
2003,Seneca Wallace,Iowa State,QB,71.4,196,12,4.52,,38,127,4.14,6.97
2003,Juston Wood,Portland State (OR),QB,72.6,207,30,4.84,,32.5,113,4.07,7.13
2002,David Carr,Frenso State (CA),QB,75.4,223,24,4.67,,35,106,4.28,7.05
2002,Ronald Curry,North Carolina,QB,73.9,220,22,4.65,,35,110,4.11,7.06
2002,Rohan Davey,Louisiana State,QB,74,245,17,4.74,,25.5,,,
2002,Brandon Doman,Brigham Young,QB,73.8,210,27,4.87,,32.5,106,4.08,6.9
2002,Randy Fasani,Stanford,QB,75.4,234,25,4.78,,31.5,106,3.87,6.75
2002,David Garrard,East Carolina (NC),QB,73.9,235,14,4.83,,33.5,110,4.26,7.35
2002,Joey Harrington,Oregon,QB,76,215,32,4.85,,32,107,4.21,7
2002,Kurt Kittner,Illinois,QB,74.3,211,31,4.86,,27,97,4.5,7.34
2002,Josh McCown,Sam Houston State (TX),QB,75.9,221,30,4.64,,38.5,118,3.9,6.85
2002,David Neill,Nevada,QB,75,206,25,4.95,,30,108,4.44,7.28
2002,J.T. O'Sullivan,UC-Davis,QB,74.1,223,35,4.93,,29,105,4.28,7.46
2002,Patrick Ramsey,Tulane (LA),QB,74.5,219,32,5.24,,33.5,111,4.09,7.12
2002,Greg Zolman,Vanderbilt,QB,73.8,220,23,4.9,,34,110,4.14,7.06
2001,Jonathan Beasley,Kansas State,QB,73,227,20,4.85,,29.5,102,4.38,7.55
2001,Josh Booty,Louisiana State,QB,74.5,221,27,4.95,,29.5,105,4.48,7.54
2001,Drew Brees,Purdue,QB,72.3,213,28,4.85,,32,105,4.21,7.09
2001,Quincy Carter,Georgia,QB,74.1,225,30,4.61,,35.5,113,4.12,7.12
2001,Justin Coleman,Nebraska-Kearney,QB,76.4,238,31,5.19,20,29.5,101,4.62,7.78
2001,Shane Griggs,Idaho State,QB,75.9,199,29,4.84,,,,,
2001,Tim Hasselbeck,Boston College,QB,73,211,23,4.83,,33,113,4.4,7.27
2001,Josh Heupel,Oklahoma,QB,73.8,215,30,4.82,,37.5,114,4.15,7.18
2001,Ortege Jenkins,Arizona,QB,72.6,234,14,4.83,,34.5,108,4.4,7.32
2001,Cleo Lemon,Arkansas State,QB,74,226,18,4.87,,35.5,106,4.27,7.33
2001,Mike McMahon,Rutgers,QB,74.4,207,27,4.55,,37.5,124,4.12,7.12
2001,Romaro Miller,Mississippi,QB,72.1,205,11,4.64,,35,110,4.51,7.4
2001,Jesse Palmer,Florida,QB,74,231,32,4.79,,35.5,112,4.29,7.13
2001,David Rivers,Western Carolina,QB,75,223,27,4.73,,31.5,115,4.2,7.37
2001,Sage Rosenfels,Iowa State,QB,76.4,228,32,4.77,,34,107,4.29,7.07
2001,Marques Tuiasosopo,Washington,QB,73.1,223,24,4.71,,35.5,115,4.35,7.36
2001,Michael Vick,Virginia Tech,QB,72,210,20,4.33,,38,,,
2000,Tom Brady,Michigan,QB,76.4,211,33,5.3,,24.5,99,4.38,7.2
2000,Travis Brown,Northern Arizona,QB,75.5,218,35,5.03,,29,101,4.87,7.54
2000,Marc Bulger,West Virginia,QB,73.6,208,29,4.96,,,100,4.34,7.46
2000,Bill Burke,Michigan State,QB,75.9,206,30,5.07,,28.5,107,4.42,7.46
2000,Giovanni Carmazzi,Hofstra (NY),QB,74.6,224,32,4.76,,36.5,119,4.23,6.94
2000,Kevin Feterik,Brigham Young,QB,71,207,18,4.94,,31,106,4.45,7.3
2000,Justin Fuente,Murray State (KY),QB,73.4,225,33,5.24,,27.5,100,4.42,7.51
2000,Joe Hamilton,Georgia Tech,QB,70.3,192,18,4.84,,,106,,
2000,Todd Husak,Stanford,QB,75.1,216,39,5.22,,27.5,99,4.41,7.17
2000,Jarious Jackson,Notre Dame,QB,73,226,18,4.68,,,109,,
2000,Doug Johnson,Florida,QB,74.4,226,28,4.95,,29.5,96,,
2000,Sean Keenan,Williams College (MA),QB,75,202,32,5.03,,25.5,95,4.41,7.21
2000,Tim Lester,Western Michigan,QB,72.4,202,26,5.05,,27,97,4.24,7.28
2000,Tee Martin,Tennessee,QB,73.6,227,11,4.61,,34.5,113,,
2000,Chad Pennington,Marshall (WV),QB,75.4,229,25,4.85,,33.5,111,4.16,7.12
2000,Tim Rattay,Louisiana Tech,QB,72.5,215,27,4.93,,25.5,100,4.21,7.34
2000,Chris Redman,Louisville,QB,74.8,222,16,5.37,,26.5,98,4.78,7.8
2000,Spergon Wynn,Texas State,QB,75.4,229,25,4.95,,34,108,4.59,7.71
1999,Todd Bandhaur,Iowa State,QB,75,236,31,5.26,,31,103,4.61,7.66
1999,Michael Bishop,Kansas State,QB,73,205,10,4.85,,33,113,4.62,7.63
1999,Aaron Brooks,Virginia,QB,75.5,203,17,4.59,,35.5,118,4.29,7.52
1999,Mike Cook,William & Mary (VA),QB,71.6,207,22,4.84,,33.5,112,4.32,7.29
1999,Tim Couch,Kentucky,QB,76.1,225,22,5.08,,31,,4.34,
1999,Scott Covington,Miami (FL),QB,74.1,219,21,4.67,,34,107,4.42,7.62
1999,Daunte Culpepper,Central Florida,QB,75.8,255,18,4.52,,39,122,4.13,7.21
1999,Kevin Daft,UC-Davis,QB,73.8,203,32,4.91,,32.5,109,4.37,7.39
1999,Oscar Davenport,North Carolina,QB,75.5,199,6,4.89,,31,103,4.82,7.5
1999,Scott Dreisbach,Michigan,QB,75,216,20,4.78,,33,109,4.27,7.06
1999,Mark Garcia,Ohio State,QB,75,220,21,4.77,,33.5,107,4.2,7.36
1999,Joe Germaine,Ohio State,QB,73.3,211,25,4.8,,32,102,4.21,7.18
1999,Chris Greisen,Northwest Missouri State,QB,74.5,223,27,5.06,,30.5,107,4.33,7.29
1999,Brock Huard,Washington,QB,77,227,25,5.12,,30.5,107,4.44,7.44
1999,Shaun King,Tulane (LA),QB,72,221,25,4.77,,33,113,4.29,
1999,Brian Kuklick,Wake Forest,QB,74.1,204,29,4.9,,31,103,4.56,7.66
1999,Graham Leigh,New Mexico,QB,73.9,212,22,4.79,,32.5,111,4.27,7.21
1999,Jason Maas,Oregon,QB,74,210,43,4.97,,31.5,103,4.35,7.43
1999,Donovan McNabb,Syracuse,QB,74.3,223,14,4.64,,33,116,4.38,7.3
1999,Cade McNown,UCLA,QB,72.9,213,28,4.76,,33.5,108,4.28,7.27
1999,Akili Smith,Oregon,QB,74.8,227,26,4.7,,34,111,4.29,6.99
1999,Ted White,Howard (DC),QB,74.4,226,12,5.14,,30.5,106,4.51,7.5
1999,Anthony Wright,South Carolina,QB,73.4,195,16,4.74,,31,116,4.35,7.45
1998,Charlie Batch,Eastern Michigan,QB,73.9,216,,4.89,,33.5,118,4.11,7.6
1998,Thad Busby,Florida State,QB,74.1,223,,4.97,,30.5,110,,
1998,Ryan Clement,Miami (FL),QB,73,212,,5.02,,31,104,4.39,7.85
1998,John Dutton,Nevada Las Vegas,QB,75.9,219,,4.68,,29,104,4.22,7.55
1998,Shane Fortney,Northern Iowa,QB,73.6,225,,4.72,,33.5,114,4.3,7.74
1998,Dan Gonzalez,East Carolina (NC),QB,74.6,214,,4.89,,29,104,4.23,7.58
1998,Paul Kaiser,Central Missouri,QB,74.6,211,,4.78,,34.5,114,4.04,7.25
1998,Ryan Leaf,Washington State,QB,77.4,261,,,,,,,
1998,Peyton Manning,Tennessee,QB,77.3,230,,,,,,,
1998,Chris Mccoy,Navy,QB,69.8,196,,4.8,15,29.5,109,,
1998,Mike Mcqueary,Penn State,QB,76.3,223,,5.16,,26,99,4.4,7.79
1998,Ron Powlus,Notre Dame,QB,73.6,219,,5.1,,26,98,4.35,7.53
1998,Cory Sauter,Minnesota,QB,76.1,218,,4.98,,31,109,4.15,7.45
1998,Matt Sherman,Iowa,QB,73.9,207,,5.06,,26.5,103,4.37,7.68
1997,Jim Arellanes,Frenso State (CA),QB,75.1,211,,5.19,,27,102,4.67,8.03
1997,Pat Barnes,California,QB,75.1,212,,,,,,,
1997,Mike Cherry,Murray State (KY),QB,75.9,222,,5.11,,28.5,105,4.38,7.8
1997,Chuck Clements,Houston,QB,74.6,211,,4.98,,31.5,108,4.36,7.69
1997,Marcus Crandell,East Carolina (NC),QB,71.4,204,,4.78,,30,105,4.67,8.25
1997,Jason Davis,Western State Colorado,QB,75.5,220,,4.92,,30.5,107,4.33,7.85
1997,Koy Detmer,Colorado,QB,72.9,180,,5.14,,28.5,103,4.37,7.79
1997,Jim Druckenmiller,Virginia Tech,QB,76.6,234,,,,29,106,4.28,7.92
1997,Lance Funderburk,Valdosta State (GA),QB,76.4,227,,5.23,,27,97,,
1997,Eric Kresser,Marshall (WV),QB,74.3,220,,,,,,,
1997,Jason Martin,Louisiana Tech,QB,74.4,234,,5.01,,29,101,4.47,7.81
1997,Brad Otton,Southern California,QB,78.1,224,,5,,31.5,112,4.39,7.54
1997,Jake Plummer,Arizona State,QB,74.3,195,,4.96,,30,111,4.29,7.3
1997,Wally Richardson,Penn State,QB,76.4,221,,4.95,,31,109,4.47,7.97
1997,Steve Sarkisian,Brigham Young,QB,72.4,208,,4.96,,30,104,4.51,8.16
1997,Danny Wuerffel,Florida,QB,73.8,212,,4.9,,28,100,4.42,7.69
1996,Tony Banks,Michigan State,QB,76.5,220,,4.93,,,,4.55,
1996,Grady Benton,West Texas A&M,QB,73.8,196,,4.88,,29,109,4.62,
1996,Brook Berringer,Nebraska,QB,75.5,218,,4.69,,33,113,4.13,
1996,Antwan Chiles,Liberty (VA),QB,73.1,240,,4.94,,30,105,4.73,
1996,Dave Dickenson,Montana,QB,70.4,185,,5.19,,29,108,4.51,
1996,Mike Groh,Virginia,QB,74.8,204,,5.17,,31,117,4.41,
1996,Bobby Hoying,Ohio State,QB,75.3,221,,4.73,,31,108,4.16,
1996,Danny Kanell,Florida State,QB,75.4,222,,,,,,,
1996,Josh Larocca,Rice (TX),QB,72.9,209,,,,,,,
1996,Jeff Lewis,Northern Arizona,QB,73.8,215,,,,,,,
1996,Scott Milanovich,Maryland,QB,74.5,218,,,,,,,
1996,Alfred Montez,Western New Mexico,QB,73.6,235,,5.07,,24.5,99,4.79,
1996,Josh Nelson,Mississippi,QB,74.1,198,,5.05,,31.5,108,4.53,
1996,Kendrick Nord,Grambling State (LA),QB,74.5,207,,4.71,,36.5,120,4.32,
1996,James Richey,Stephen F. Austin (TX),QB,73.8,211,,4.97,,25.5,107,,
1996,Aaron Sparrow,Norfolk State (VA),QB,72.5,211,,4.94,,29.5,108,4.21,
1996,Jon Stark,Trinity International (IL),QB,75.8,222,,,,,,,
1996,Steve Taneyhill,South Carolina,QB,74.4,220,,,,,,,
1996,Kyle Wachholtz,Southern California,QB,76.3,233,,5.14,,25,96,4.65,
1996,Dan White,Arizona,QB,72.5,211,,,,,,,
1995,Jay Barker,Alabama,QB,74.4,212,,4.94,,27,105,4.31,
1995,Dave Barr,California,QB,74.9,210,,,,,,,
1995,Stoney Case,New Mexico,QB,74.5,206,,4.83,,30.5,111,4.25,
1995,Kerry Collins,Penn State,QB,77,240,,,,,,,
1995,Todd Collins,Michigan,QB,76.6,224,,5.07,,30,111,4.34,
1995,Frank Costa,Miami (FL),QB,75.3,215,,5.13,,25,101,4.66,
1995,Ed Daniels,Langston (OK),QB,74.1,203,,5,,27,110,4.47,
1995,Terry Dean,Florida,QB,73.5,213,,4.91,,30,111,4.12,
1995,Kelly Holcomb,Middle Tennessee State,QB,74.4,202,,5.12,,28,107,4.44,
1995,Rob Johnson,Southern California,QB,75.3,223,,,,,,,
1995,Kevin Mason,Syracuse,QB,75,205,,4.7,,31,113,4.09,
1995,Chad May,Kansas State,QB,73.4,226,,,,,,,
1995,Steve Mcnair,Alcorn State (MS),QB,73.6,224,,,,,115,,
1995,John Sacca,Eastern Kentucky,QB,74.4,206,,5.07,,27.5,107,4.38,
1995,Steve Stenstrom,Stanford,QB,73.9,199,,5.08,,28,100,4.03,
1995,Kordell Stewart,Colorado,QB,73.5,212,,4.52,,36,125,4.13,
1995,John Walsh,Brigham Young,QB,75,214,,,,,,,
1995,Eric Zeier,Georgia,QB,72.5,208,,,,,,,
1994,Jim Ballard,Mount Union (OH),QB,74.9,223,,5.08,,26.5,108,4.25,
1994,Jeff Brohm,Louisville,QB,72.8,208,,,,34.5,113,4.23,
1994,Paul Burmeister,Iowa,QB,74.4,215,,5.1,,29.5,108,4.36,
1994,Robert Cobb,Louisiana-Monroe,QB,74.5,217,,,,26,104,4.76,
1994,Trent Dilfer,Frenso State (CA),QB,75.3,228,,,,,,,
1994,Clint Dolezel,East Texas Baptist,QB,76.4,189,,5.01,,26.5,112,4.38,
1994,Jay Fiedler,Dartmouth (NH),QB,73.4,215,,4.81,,33.5,116,4.46,
1994,Glenn Foley,Boston College,QB,72.8,212,,,,,,,
1994,Gus Frerotte,Tulsa (OK),QB,75,221,,5.04,,26,102,4.79,
1994,Marvin Graves,Syracuse,QB,72.8,201,,5.14,,27.5,105,4.54,
1994,Jake Kelchner,West Virginia,QB,73,218,,5.12,,27,99,4.47,
1994,Perry Klein,LIU-CW Post (NY),QB,74.4,214,,4.84,,32.5,115,4.2,
1994,Jimmy Klingler,Houston,QB,74.5,218,,5.03,,29.5,111,4.45,
1994,Steve Matthews,Memphis,QB,74.9,208,,,,,,,
1994,Jim Miller,Michigan State,QB,74.3,227,,5.13,,24.5,100,4.39,
1994,Cree Morris,Saint Mary's (CA),QB,79,239,,5.36,,26.5,99,4.73,
1994,Doug Nussmeier,Idaho,QB,74.9,211,,4.88,,33,113,4.13,
1994,Heath Shuler,Tennessee,QB,74,221,,,,,,,
1994,Jewel Walker,Howard (DC),QB,75.1,235,,5.02,,30,106,4.66,
1993,Drew Bledsoe,Washington State,QB,77,233,,,,32.5,111,4.54,
1993,John Bonds,Northern Arizona,QB,76.4,230,,5.02,,28.5,106,4.27,
1993,Mark Brunell,Washington,QB,73,206,,4.7,,30.5,112,4.19,
1993,John Charles,Portland State (OR),QB,71.4,211,,,,,,,
1993,Elvis Grbac,Michigan,QB,77.1,232,,4.81,,31.5,112,4.5,
1993,Trent Green,Indiana,QB,74.5,211,,4.92,,32.5,116,4.2,
1993,Billy Joe Hobert,Washington,QB,74.6,234,,4.89,,30.5,109,4.29,
1993,Eric Hunter,Purdue,QB,75.5,212,,4.72,,36.5,122,4.39,
1993,Troy Kopp,Pacific (CA),QB,73.3,212,,5.12,,26.5,103,4.46,
1993,Brad Lebo,Montana,QB,75.1,228,,5.17,,27.5,103,4.62,
1993,Jeff Loots,Southwest Minnesota,QB,73,192,,4.96,,27.5,104,4.28,
1993,Jamie Martin,Weber State (UT),QB,74.4,210,,4.83,,31,115,4.3,
1993,Shane Matthews,Florida,QB,74.6,196,,4.89,,32,105,4.37,
1993,Rick Mirer,Notre Dame,QB,74,216,,,,,,,
1993,Henderson Mosely,Central State (OH),QB,72.6,241,,4.87,,31.5,105,4.76,
1993,Charles Puleri,New Mexico State,QB,72.1,208,,5.1,,24.5,99,4.53,
1993,Steve Smith,Western State Colorado,QB,76.3,223,,,,,,,
1993,Gino Torretta,Miami (FL),QB,74,219,,,,31,106,,
1993,Alex Van Pelt,Pittsburgh,QB,72,212,,4.97,,30.5,,,
1993,Erik White,Bowling Green (OH),QB,76.5,206,,4.89,,28.5,106,4.59,
1993,Greg Willig,Rice (TX),QB,78,234,,5.31,,23,90,4.66,
1992,Mark Barsotti,Frenso State (CA),QB,73.5,207,,4.92,,28.5,108,4.5,
1992,Jeff Bender,Central Michigan,QB,73.1,212,,5.06,,29.5,110,4.58,
1992,Jeff Blake,East Carolina (NC),QB,71.8,202,,4.86,,30.5,115,4.6,
1992,Matt Blundin,Virginia,QB,78,228,,4.99,,25.5,103,4.53,
1992,Ty Detmer,Brigham Young,QB,71.8,179,,,,,,,
1992,Will Furrer,Virginia Tech,QB,74.6,208,,4.88,,32,106,4.46,
1992,Kent Graham,Ohio State,QB,76.9,232,,5.14,,27.5,103,4.21,
1992,Chris Hakel,William & Mary (VA),QB,74.3,231,,5.17,,23.5,102,4.79,
1992,Brad Johnson,Florida State,QB,76.5,218,,5.02,,29.5,110,4.29,
1992,Andy Kelly,Tennessee,QB,74.4,217,,5.14,,26,103,4.31,
1992,David Klingler,Houston,QB,74.5,205,,4.82,,32.5,111,4.01,
1992,Tony Lowery,Wisconsin,QB,74,184,,4.76,,32.5,119,4.31,
1992,Keithen Mccant,Nebraska,QB,73.6,208,,4.71,,31.5,120,,
1992,Mike Pawlawski,California,QB,73.5,204,,4.89,,29.5,112,4.46,
1992,Chris Pederson,Iowa State,QB,74.4,223,,4.84,,29,101,4.34,
1992,Matt Rodgers,Iowa,QB,74.3,213,,4.98,,26.5,110,4.22,
1992,T.J. Rubley,Tulsa (OK),QB,74.6,199,,4.88,,27,,4.22,
1992,Tony Sacca,Penn State,QB,76.6,234,,4.86,,29.5,107,4.21,
1992,Matt Veatch,San Jose State,QB,75.6,207,,4.87,,30.5,109,4.34,
1992,Kevin Verdugo,Colorado State,QB,74.6,211,,5.21,,23.5,97,4.53,
1992,Casey Weldon,Florida State,QB,72.6,200,,4.83,,32.5,102,4.06,
1991,Grady Bennett,Montana,QB,74,209,,4.97,,29.5,106,4.49,
1991,Tom Bill,Penn State,QB,73.4,214,,5.08,,27.5,105,4.61,
1991,Jeff Bridewell,UC-Davis,QB,75.9,214,,5.05,,27.5,106,4.58,
1991,Chris Cochrane,Cornell (NY),QB,74.1,218,,5.03,,28.5,100,4.38,
1991,Matthew Degennaro,Connecticut,QB,72.6,206,,4.95,,29.5,104,4.51,
1991,Dan Enos,Michigan State,QB,72,192,,4.81,,26,102,4.22,
1991,Brett Favre,Southern Mississippi,QB,74,217,,,,,,,
1991,Greg Frey,Ohio State,QB,73.4,197,,5.07,,27,100,4.3,
1991,Brad Gossen,Washington State,QB,73,213,,5.27,,25,97,4.52,
1991,David Gulledge,Jacksonville State (AL),QB,73.3,203,,,,32,116,,
1991,Donald Hollas,Rice (TX),QB,75.1,215,,4.93,,28.5,104,4.31,
1991,Greg Jones,West Virginia,QB,73.3,208,,4.98,,27.5,102,4.56,
1991,Paul Justin,Arizona State,QB,75.8,202,,5.04,,27.5,104,4.36,
1991,Ralph Martini,San Jose State,QB,74.1,223,,5.17,,27,103,4.43,
1991,Dan Mcgwire,San Diego State,QB,79.9,243,,5.1,,31.5,114,4.36,
1991,Shawn Moore,Virginia,QB,73.9,213,,,,,,,
1991,Bill Musgrave,Oregon,QB,74.3,200,,4.98,,30.5,106,4.27,
1991,Browning Nagle,Louisville,QB,74.3,231,,,,,,,
1991,Billy Ray,Duke,QB,74.3,199,,4.96,,34.5,118,4.38,
1991,Deron Smith,Tulane (LA),QB,76.1,216,,4.69,,33,116,4.31,
1991,Leonard Valentine,Nicholls State (LA),QB,72,231,,,,,,,
1991,Scott Zolak,Maryland,QB,77,222,,5.01,,30.5,105,4.4,
1990,Kirk Baumgartner,Wisconsin-Steven's Point,QB,74.8,203,,5.2,,23,100,4.64,
1990,Frank Baur,Lafayette (PA),QB,75.1,220,,4.97,,26,106,4.36,
1990,Mike Buck,Maine,QB,74.6,218,,5.04,,25,103,4.33,
1990,Mark Carr,New Hampshire,QB,76.9,225,,5.07,,27.5,101,4.39,
1990,Cary Conklin,Washington,QB,76,215,,4.96,,26.5,109,4.56,
1990,Todd Ellis,South Carolina,QB,73.3,203,,,,,,,
1990,Scott Erney,Rutgers,QB,73.5,200,,4.93,,29.5,108,4.14,
1990,John Friesz,Idaho,QB,76.3,209,,5.29,,22,97,4.57,
1990,Clemente Gordon,Grambling State (LA),QB,75,222,,4.84,,28,109,4.54,
1990,John Gromos,Vanderbilt,QB,76.3,210,,5.01,,27,100,4.31,
1990,Mike Gundy,Oklahoma State,QB,70.4,184,,5.15,,26,99,4.27,
1990,Wally Henry,Mississippi College,QB,74.8,200,,,,,,,
1990,Tommy Hodson,Louisiana State,QB,74,189,,4.94,,30.5,110,4.4,
1990,Mike Johnson,Akron,QB,73.5,190,,4.92,,28,111,4.34,
1990,Neil O'Donnell,Maryland,QB,74.3,217,,4.89,,32.5,109,4.03,
1990,Michael Proctor,Murray State (KY),QB,74.3,202,,,,,118,,
1990,Tony Rice,Notre Dame,QB,72.3,197,,4.82,,37,118,4.1,
1990,Dave Schnell,Indiana,QB,73.5,214,,5.03,,26,105,4.48,
1990,Reggie Slack,Auburn,QB,73.1,217,,,,,,,
1990,Troy Taylor,California,QB,75.4,201,,4.73,,33.5,116,4.13,
1990,Peter Willis,Florida State,QB,74,188,,5.12,,26,94,4.53,
1989,Jeff Carlson,Weber State (UT),QB,75,209,,5.06,,32,106,4.41,
1989,Anthony Dilweg,Duke,QB,75.4,199,,4.78,,28,102,4.37,
1989,Mike Elkins,Wake Forest,QB,75.3,221,,5.02,,29.5,97,4.5,
1989,Jeff Francis,Tennessee,QB,75.5,218,,4.9,,29.5,102,4.51,
1989,Jason Garrett,Princeton,QB,72.5,192,,4.85,,29.5,109,4.06,
1989,Mickey Guidry,Louisiana State,QB,73.5,210,,,,,,,
1989,Chuck Hartlieb,Iowa,QB,72.8,208,,,,,,4.17,
1989,James Harvey,North Carolina Central,QB,73.4,207,,4.94,,29,105,4.53,
1989,Bob Jean,New Hampshire,QB,74,210,,4.88,,32.5,117,4.6,
1989,Eric Jones,Vanderbilt,QB,72.9,196,,4.79,,35,116,4.03,
1989,Terrence Jones,Tulane (LA),QB,73.3,209,,4.64,,34,110,4.34,
1989,Drew Komlo,Catholic University (DC),QB,75.3,215,,5.19,,26.5,97,4.64,
1989,Rodney Peete,Southern California,QB,72.5,195,,4.72,,29,103,4.53,
1989,Todd Philcox,Syracuse,QB,76,213,,5.12,,27.5,100,4.43,
1989,Brent Snyder,Utah State,QB,75.3,225,,5.09,,25.5,104,4.45,
1989,Billy Joe Tolliver,Texas Tech,QB,72.6,217,,5.09,,28.5,96,4.42,
1989,Erik Wilhelm,Oregon State,QB,74.8,209,,5.18,,26,101,4.21,
1988,Kerwin Bell,Florida,QB,74.1,200,,5.07,,28.5,102,4.63,
1988,Jeff Burger,Auburn,QB,71.9,208,,4.72,,32.5,108,4.39,
1988,Chris Chandler,Washington,QB,75.9,211,,4.87,10,30,102,4.4,
1988,Dan Henning,Maryland,QB,71.5,195,,5.27,5,26.5,99,4.64,
1988,Stan Humphries,Louisiana-Monroe,QB,73.9,223,,4.93,,28,102,4.56,
1988,Matthew Knizner,Penn State,QB,74.4,198,,4.91,,28.5,101,4.6,
1988,Mark Maye,North Carolina,QB,75,196,,,,,,,
1988,Dan Mccoin,Cincinnati,QB,74.6,206,,5.1,,25.5,97,4.62,
1988,Danny Mcmanus,Florida State,QB,71.5,196,,4.86,,25,101,4.49,
1988,Don Mcpherson,Syracuse,QB,73.1,181,,4.53,,32,114,4.2,
1988,Mike Perez,San Jose State,QB,73.5,207,,,16,,,,
1988,Todd Santos,San Diego State,QB,73.9,207,,4.98,10,27.5,100,4.5,
1988,Steve Slayden,Duke,QB,73.5,185,,4.99,1,26.5,103,4.57,
1988,Rick Strom,Georgia Tech,QB,74.3,203,,4.72,9,31,108,4.39,
1987,Steve Beuerlein,Notre Dame,QB,74.4,203,,5.1,3,23,93,4.63,
1987,Cody Carlson,Baylor,QB,75,191,,4.82,,29.5,111,4.45,
1987,Rich Gannon,Delaware,QB,74.3,193,,4.58,7,32.5,110,4.11,
1987,Shawn Halloran,Boston College,QB,76.3,217,,5.14,10,23.5,94,4.53,
1987,Jim Harbaugh,Michigan,QB,74.3,203,,,,,,,
1987,Doug Hudson,Nicholls State (LA),QB,73.8,197,,4.86,,25,105,4.52,
1987,Don Majkowski,Virginia,QB,73.5,199,,4.83,,34,116,4.13,
1987,Chris Miller,Oregon,QB,73.4,190,,4.74,,30.5,117,4.35,
1987,Bill Ransdell,Kentucky,QB,73.5,204,,4.96,10,24,99,4.22,
1987,Mike Shula,Alabama,QB,74,201,,5.13,2,26.5,99,4.49,
1987,Loren Snyder,Northern Colorado,QB,75.6,207,,5.15,6,26.5,104,4.63,
1987,Kelly Stouffer,Colorado State,QB,75,212,,4.95,,28,108,4.51,
1987,Kevin Sweeney,Frenso State (CA),QB,71.3,187,,,,,,,
1987,Vinny Testaverde,Miami (FL),QB,76.3,213,,4.75,13,,,,
1987,Jeff Van Raaphorst,Arizona State,QB,73,206,,4.83,8,24,106,4.41,
